,Application:, Trigno Discover (1.6.5),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Date/Time:, 28/01/2025 14:43:53,,,,,
1,Collection Length (seconds):,44.6985,,,,,
2,wrist (81457), , , , , , bicep (81139)
3,sensor mode: 609, , , , , , sensor mode: 40
4,ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
5,370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
111,-0.8740234,0.409668,0.1342773,-16.0365849,-19.8170738,10.060976,-0.0500191
112,-0.8759766,0.4101562,0.1342773,-15.7926836,-19.5121956,10.1829271,-0.0466621
113,-0.875,0.4140625,0.1323242,-14.6341467,-19.4512196,9.9390249,-0.0433051
114,-0.8647461,0.4272461,0.1328125,-14.5121956,-19.6341476,9.7560978,-0.0426337
115,-0.8652344,0.4277344,0.1308594,-14.4512196,-19.0853672,9.6341467,-0.0392767
116,-0.8603516,0.4291992,0.1274414,-14.6341467,-18.9634151,9.6341467,-0.0433051
117,-0.8564453,0.4331055,0.121582,-14.8780489,-18.7195129,9.9390249,-0.0409552
118,-0.8476562,0.4277344,0.1171875,-15.060976,-18.2926826,9.9390249,-0.0419623
119,-0.8442383,0.4262695,0.1157227,-15.6097565,-18.0487804,9.4512196,-0.0433051
120,-0.8339844,0.4331055,0.1176758,-15.3048782,-17.6829281,8.5975609,-0.0406195
121,-0.8398438,0.4365234,0.1181641,-15.3658543,-17.2560978,8.4756098,-0.0399481
122,-0.8432617,0.4443359,0.1147461,-15.5487804,-17.0731716,8.5975609,-0.0386053
123,-0.8422852,0.4477539,0.1103516,-15.8536587,-16.8902435,8.4146347,-0.0379339
124,-0.8461914,0.4506836,0.1132812,-16.5853653,-16.5243912,8.2926826,-0.0386053
125,-0.8520508,0.4516602,0.0996094,-16.9512196,-16.280489,8.0487804,-0.0392767
126,-0.8588867,0.4477539,0.0957031,-17.6219521,-16.1585369,8.4146347,-0.0406195
127,-0.8637695,0.4379883,0.1079102,-18.3536587,-16.1585369,8.4146347,-0.0409552
128,-0.8598633,0.4301758,0.1201172,-19.0853672,-16.4634151,8.1097565,-0.0406195
129,-0.8608398,0.4140625,0.1376953,-18.9634151,-16.4024391,7.8048782,-0.042298
130,-0.8671875,0.40625,0.1450195,-18.5975609,-15.9756098,7.7439027,-0.0382696
131,-0.8696289,0.4042969,0.1425781,-17.3170738,-16.5853653,7.6829271,-0.0386053
132,-0.8720703,0.4057617,0.1386719,-16.5853653,-16.4024391,7.4390244,-0.0386053
133,-0.8740234,0.4116211,0.1225586,-15.1219511,-16.2195129,6.7682929,-0.0386053
134,-0.8710938,0.4130859,0.1098633,-14.7560978,-16.5853653,6.4634147,-0.0406195
135,-0.8740234,0.4282227,0.1074219,-14.6341467,-17.3170738,6.0975609,-0.0406195
136,-0.862793,0.4262695,0.1108398,-14.4512196,-17.1951218,6.280488,-0.0412909
137,-0.8569336,0.4204102,0.1137695,-14.4512196,-17.3780499,6.4634147,-0.0419623
138,-0.8486328,0.4243164,0.1166992,-14.3292685,-17.1341476,6.4634147,-0.0406195
139,-0.8417969,0.421875,0.1137695,-14.5121956,-17.1341476,6.4634147,-0.0406195
140,-0.8364258,0.425293,0.1123047,-14.4512196,-17.0731716,5.670732,-0.0466621
141,-0.8388672,0.4296875,0.1171875,-14.5731707,-16.9512196,5.4268293,-0.0476692
142,-0.8354492,0.4306641,0.1230469,-13.9634151,-16.8902435,5.1219511,-0.0433051
143,-0.8422852,0.4326172,0.1186523,-13.9024391,-16.5853653,5.3048782,-0.0433051
144,-0.8393555,0.4404297,0.1176758,-14.5121956,-16.3414631,5.609756,-0.0433051
145,-0.8388672,0.4365234,0.1171875,-14.6951227,-16.3414631,5.609756,-0.0439765
146,-0.8417969,0.4287109,0.1201172,-15.1829271,-15.6707325,5.5487804,-0.0416266
147,-0.8457031,0.4257812,0.128418,-15.060976,-15.4268293,5.3048782,-0.0379339
148,-0.8520508,0.4267578,0.1308594,-14.5121956,-14.9390249,5.3048782,-0.0365911
